Timestamp,socmedInterest,mostUsedSocmed,Age,Gender,occupation,monthlyIncome,residence,device,internet,activeSocmed,socmedRate,picPost,vidPost,picLike,vidLike,comment,story,shareVid,"watchVidAvg
",mostUsedSocmed
504,1,11,38,1,1,55,46,3,3,2,2,0,0,1,1,0,0,1,5,11
489,1,5,38,1,3,63,46,6,1,5,5,1,1,5,5,5,5,5,6,5
564,1,12,19,1,1,30,42,6,1,3,2,2,3,4,2,3,2,1,5,12
470,1,11,18,3,6,2,42,3,3,4,3,3,4,4,5,5,4,2,6,11
489,1,5,19,1,4,2,46,6,1,5,3,4,3,4,3,4,4,3,6,5
462,1,12,19,1,1,27,46,8,3,4,5,3,4,5,3,4,5,3,5,12
376,1,11,18,1,4,2,46,6,3,5,5,3,3,5,5,0,5,3,6,11
502,1,11,14,3,4,2,42,3,1,5,5,4,3,3,3,3,1,2,5,11
83,1,13,2,2,5,2,64,7,1,4,4,1,1,2,2,2,1,1,4,13
456,1,12,14,3,6,2,42,3,3,3,4,2,2,4,4,1,1,2,5,12
531,1,12,22,3,1,61,46,6,3,3,2,3,3,2,3,2,1,0,5,12
20,1,5,14,3,4,2,10,6,3,5,4,2,2,3,4,2,4,5,3,5
66,1,11,12,1,4,2,11,6,3,5,5,4,4,5,3,2,4,2,3,11
293,1,5,2,3,4,2,46,6,3,4,4,4,4,4,4,4,4,4,6,5
97,1,5,21,2,8,2,7,7,2,5,4,2,2,2,2,2,2,2,2,5
258,1,12,14,3,4,2,46,6,3,3,3,0,1,5,5,4,1,3,6,12
499,1,12,14,3,4,2,46,6,3,4,4,3,3,4,4,1,1,1,6,12
497,1,5,14,3,4,2,42,3,3,3,4,4,4,4,4,4,4,3,6,5
338,1,5,14,3,4,2,42,6,1,5,4,1,1,3,3,1,4,1,6,5
541,1,12,14,1,4,2,46,8,3,2,2,1,1,1,0,1,0,1,5,12
108,1,8,29,4,2,77,41,7,2,4,4,2,2,3,3,2,2,2,4,8
482,1,5,27,1,3,46,46,6,3,5,5,5,5,5,5,5,5,5,6,5
7,1,5,12,3,4,2,10,6,3,5,5,1,1,4,3,1,2,1,3,5
341,1,11,14,1,1,24,42,8,1,5,3,1,2,5,5,1,2,2,5,11
548,1,12,21,1,1,25,46,6,1,3,3,4,3,4,3,2,3,2,5,12
304,1,11,14,3,4,2,42,6,3,5,5,3,3,5,5,2,2,5,6,11
519,1,11,22,3,1,52,46,3,3,3,2,0,0,2,3,2,0,1,5,11
491,1,11,35,3,1,63,46,3,1,4,4,4,4,4,4,4,5,5,6,11
156,1,12,14,2,5,2,25,7,2,4,5,1,1,4,4,1,1,2,4,12
489,1,11,11,3,4,2,46,6,1,1,5,2,1,2,2,1,1,5,5,11
356,1,12,25,3,1,26,46,3,3,5,5,5,4,4,4,5,5,5,5,12
443,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,13,5,2,5,2,41,7,1,4,4,3,2,2,2,2,2,2,2,13
55,1,13,14,3,7,2,25,3,3,2,1,1,1,3,3,2,1,1,3,13
29,1,5,14,1,4,2,10,6,1,4,4,2,2,3,3,2,3,5,1,5
502,1,12,14,3,4,2,46,6,3,5,5,2,2,3,3,1,3,1,6,12
537,1,5,21,1,1,28,46,6,1,1,2,2,1,2,1,1,0,0,5,5
71,1,13,54,4,2,70,68,7,2,5,4,3,3,3,3,3,3,3,4,13
423,1,11,27,1,1,27,46,6,1,5,5,5,5,5,5,5,5,5,6,11
518,1,5,6,3,4,2,42,6,1,5,3,4,4,4,3,3,2,2,6,5
560,1,12,19,3,1,38,46,6,3,4,4,3,4,5,4,4,3,4,5,12
235,1,11,18,2,2,21,61,7,1,5,4,4,4,4,4,1,5,5,4,11
526,1,12,19,1,1,22,42,3,3,2,1,1,0,1,2,2,1,1,5,12
57,1,11,17,1,4,2,25,6,3,3,4,3,2,2,2,3,3,5,3,11
61,1,5,14,3,4,2,12,6,3,5,2,2,1,3,2,1,1,1,3,5
487,1,5,30,1,1,46,42,6,3,5,3,5,3,5,3,5,4,4,5,5
261,1,11,9,3,4,2,42,6,1,4,3,1,1,5,5,1,3,5,5,11
568,1,12,29,1,3,64,46,6,1,3,2,3,2,1,2,1,2,1,5,12
263,1,5,14,1,6,2,42,6,3,5,5,1,1,5,5,5,3,2,5,5
569,1,12,30,3,3,40,46,6,3,2,2,3,2,1,3,2,1,2,5,12
442,1,11,26,3,1,35,46,6,3,5,4,3,2,3,4,5,4,3,6,11
196,1,12,20,2,2,28,20,7,1,5,4,2,2,3,3,2,1,2,2,12
378,1,11,8,1,4,2,42,8,1,4,4,0,0,5,5,2,1,3,6,11
454,1,11,12,1,4,2,42,3,3,4,3,4,3,4,3,4,3,4,6,11
507,1,12,14,3,4,2,46,3,3,4,4,3,3,4,3,3,2,2,6,12
138,1,13,6,4,5,2,12,7,2,4,4,2,2,2,4,1,2,5,4,13
37,1,13,12,1,4,2,10,6,1,4,4,2,2,5,5,3,4,4,3,13
447,1,12,21,3,1,26,42,8,3,4,4,4,3,3,4,4,4,5,6,12
524,1,12,18,3,4,2,42,6,1,4,4,4,4,3,3,1,2,1,5,12
517,1,12,20,3,3,61,46,6,3,4,3,3,4,3,4,3,3,2,5,12
295,1,5,27,3,3,13,46,6,1,3,5,3,3,5,4,4,4,3,6,5
487,1,5,18,1,3,21,46,6,1,2,3,3,3,4,3,3,4,4,5,5
484,1,12,18,3,1,17,46,6,3,3,5,3,3,5,5,1,1,4,6,12
521,1,11,18,3,4,2,46,8,1,5,4,4,3,4,4,4,3,4,6,11
134,1,13,42,2,2,6,38,7,1,5,5,4,4,4,4,3,3,3,2,13
95,1,5,12,2,5,2,48,7,1,4,5,3,2,3,3,3,3,3,2,5
125,1,11,10,2,5,2,2,7,2,2,3,1,1,3,3,2,1,3,2,11
335,1,11,14,3,4,2,42,6,1,3,4,4,3,3,2,3,3,3,6,11
60,0,5,18,3,4,60,11,6,3,5,1,2,1,4,1,3,2,1,1,5
468,1,12,18,3,3,10,42,3,3,4,3,5,4,5,3,4,3,5,5,12
299,1,5,14,1,4,2,46,6,3,5,4,1,2,4,5,2,4,5,5,5
556,1,12,14,1,6,2,46,6,3,2,3,4,3,2,4,3,2,3,5,12
511,1,11,14,3,4,2,42,6,1,4,3,4,3,3,2,3,2,2,6,11
342,1,5,14,3,4,2,46,6,3,3,2,1,1,2,3,1,3,2,5,5
518,1,5,14,1,4,2,46,6,3,0,1,1,1,0,1,0,0,1,5,5
306,1,11,36,3,6,13,46,6,1,5,4,2,3,3,3,3,3,3,6,11
471,1,12,14,3,4,2,42,8,1,4,4,3,3,4,4,2,2,1,5,12
129,1,13,27,2,8,2,5,7,2,4,5,2,1,4,3,3,3,2,4,13
50,1,11,14,1,4,2,23,6,1,5,4,2,2,3,3,1,2,1,3,11
498,1,12,14,3,4,2,46,8,3,4,4,3,3,3,4,2,3,1,6,12
538,1,12,22,1,1,46,46,6,1,4,4,5,4,5,4,5,4,4,5,12
490,1,11,12,3,4,2,46,6,1,5,5,3,3,5,5,5,5,5,5,11
362,1,11,10,3,4,2,46,6,3,5,5,2,2,5,5,2,3,5,6,11
441,1,12,18,3,4,2,42,6,3,5,4,3,4,5,4,3,4,5,5,12
464,1,11,12,1,1,13,42,3,1,4,3,4,3,5,5,5,3,3,6,11
207,1,5,11,2,5,2,28,7,2,3,3,2,2,2,2,2,1,4,2,5
488,1,11,14,3,4,2,46,8,1,5,4,3,4,2,4,3,4,3,6,11
303,1,11,28,1,1,27,46,6,1,3,4,1,1,2,2,2,1,1,5,11
172,1,13,46,2,2,86,41,7,1,4,4,3,2,4,4,2,2,3,4,13
281,1,5,14,3,6,0,46,6,3,5,3,1,0,0,2,0,3,5,5,5
496,1,11,53,3,6,2,42,3,1,3,2,0,0,4,4,1,3,5,5,11
347,1,11,5,3,4,2,46,6,3,5,5,3,3,5,5,4,4,4,6,11
489,1,5,18,3,4,2,42,3,1,4,2,4,1,4,3,3,3,5,6,5
4,1,11,12,3,4,2,51,6,1,4,4,1,1,5,5,1,2,2,3,11
512,1,11,14,3,4,2,46,6,3,4,3,3,3,3,3,2,2,1,6,11
421,1,12,5,1,4,2,46,8,3,5,5,5,5,5,5,5,5,5,6,12
504,1,11,18,3,4,2,46,6,1,3,3,0,1,1,2,2,2,5,5,11
463,1,12,11,3,4,2,42,6,1,3,4,3,4,3,4,3,4,3,6,12
532,1,12,19,1,1,40,46,3,3,4,3,3,4,3,2,3,3,0,5,12
5,1,11,9,1,4,2,51,6,1,5,5,3,2,4,4,2,3,2,3,11
112,1,11,11,2,5,80,55,7,2,3,2,3,3,3,5,2,2,5,4,11
504,1,11,21,3,1,37,46,3,3,4,4,3,4,4,3,4,3,4,6,11
106,1,13,11,4,5,2,2,7,1,3,3,2,2,2,2,2,2,2,2,13
527,1,12,18,1,4,2,46,6,3,3,3,1,2,1,1,1,0,0,5,12
353,1,11,14,1,6,2,42,6,1,3,4,3,3,4,5,4,4,5,6,11
538,1,5,19,3,1,28,42,6,1,4,3,4,2,4,3,4,3,3,5,5
22,1,13,10,3,4,2,51,6,3,5,5,2,1,5,5,2,4,5,3,13
542,1,12,20,1,1,40,46,6,1,5,4,4,4,5,5,4,5,3,5,12
275,1,5,14,3,4,2,42,6,3,3,3,0,0,1,1,0,0,1,5,5
