Timestamp,socmedInterest,mostUsedSocmed,Age,Gender,occupation,monthlyIncome,residence,device,internet,activeSocmed,socmedRate,picPost,vidPost,picLike,vidLike,comment,story,shareVid,"watchVidAvg
",interactionTime
171,1,13,58,4,8,60,44,7,2,5,5,4,4,4,4,5,4,4,4,3
172,1,13,46,2,2,86,41,7,1,4,4,3,2,4,4,2,2,3,4,3
173,1,13,28,2,8,2,47,7,1,3,3,2,2,3,3,3,3,2,2,2
174,1,13,51,2,2,32,45,7,2,5,5,5,5,5,5,5,5,5,4,4
175,1,13,44,2,8,2,33,7,2,3,3,1,1,2,2,2,2,2,2,3
176,1,17,29,2,2,34,66,7,1,4,4,2,3,2,2,2,2,4,4,3
177,1,13,38,4,2,46,28,7,1,3,3,2,2,3,3,2,2,2,2,2
178,1,1,48,4,2,61,71,7,1,4,3,4,2,3,3,3,3,2,4,4
179,1,13,28,2,2,13,21,7,1,3,3,3,3,3,3,3,3,3,2,2
180,1,13,40,2,8,2,45,7,1,5,5,3,2,2,2,2,2,2,2,4
181,1,13,23,4,2,25,69,7,1,4,4,2,3,2,3,2,2,3,2,4
182,1,11,24,4,2,21,38,7,2,5,4,1,3,4,4,3,4,4,4,3
183,1,5,32,2,8,6,38,7,1,4,4,3,3,3,3,2,2,2,4,2
184,1,13,21,4,2,13,28,7,2,2,5,2,2,2,2,1,1,2,2,4
185,1,13,32,4,2,6,38,7,1,4,4,2,2,2,2,2,3,3,4,2
186,1,13,47,4,2,21,33,4,2,2,2,2,2,2,2,2,1,2,2,4
187,1,13,23,4,2,36,25,7,1,4,3,2,2,2,2,3,2,3,4,4
188,1,13,26,2,8,2,65,7,1,3,3,2,2,3,3,2,1,3,4,4
189,1,13,29,2,2,85,31,7,1,4,3,3,2,3,3,2,2,2,4,2
190,1,13,55,4,2,103,27,7,1,5,5,4,4,4,4,3,4,3,2,2
191,1,13,26,2,8,2,25,7,2,4,3,3,3,3,3,3,3,3,4,4
192,1,13,31,4,2,2,64,7,2,3,4,3,2,3,3,2,2,3,4,2
193,1,13,46,4,2,68,53,7,1,4,4,2,2,3,3,3,2,3,4,4
67,1,11,59,4,8,58,44,7,2,5,4,3,2,4,4,5,3,3,4,4
68,1,13,47,4,2,13,6,4,2,2,3,2,2,2,2,2,2,2,4,3
69,1,13,40,2,8,2,6,7,2,3,3,1,1,2,2,2,2,1,2,2
70,1,13,48,2,2,11,38,7,2,4,4,3,2,3,4,3,2,3,4,4
71,1,13,54,4,2,70,68,7,2,5,4,3,3,3,3,3,3,3,4,3
72,1,13,57,4,8,91,38,7,2,4,4,2,3,4,4,2,2,3,4,3
73,1,13,63,4,8,84,38,7,1,5,5,3,2,4,4,3,2,3,4,4
74,1,13,49,4,2,94,28,7,2,4,4,2,2,2,3,2,2,2,4,2
75,1,14,53,4,2,98,28,7,2,3,4,2,2,3,3,2,2,3,2,3
76,1,15,4,2,5,2,36,7,1,3,4,1,1,3,5,2,3,3,4,2
77,1,13,31,4,2,61,41,7,1,3,3,3,3,3,3,3,3,3,4,2
78,0,13,4,2,5,2,18,7,2,2,2,3,2,4,2,2,3,2,2,2
79,1,5,23,4,2,104,16,7,2,5,5,3,3,3,3,3,3,3,4,4
80,1,13,2,4,5,2,28,9,1,2,4,2,2,2,3,4,4,3,2,3
81,1,11,5,2,5,2,69,7,1,5,5,2,2,4,5,2,3,3,2,4
82,1,1,21,2,2,89,11,2,2,4,4,3,2,5,5,3,3,5,4,2
83,1,13,2,2,5,2,64,7,1,4,4,1,1,2,2,2,1,1,4,3
84,1,11,5,2,5,2,28,7,1,4,4,2,2,3,3,1,2,3,4,4
85,1,11,4,2,5,2,39,7,2,3,4,3,4,3,3,2,3,3,4,2
86,1,13,29,4,2,101,38,7,1,4,4,2,2,2,2,2,2,2,4,2
87,1,13,28,2,2,40,41,7,1,2,4,2,2,4,4,4,2,2,4,3
88,1,13,57,4,8,95,37,7,1,4,5,2,2,5,5,4,2,3,4,2
89,1,11,2,2,5,2,41,7,1,5,4,2,2,2,2,1,4,1,2,4
90,0,11,3,2,5,2,38,7,2,1,3,2,2,1,1,1,1,2,4,4
